dateTime,value
10/26/2010 3:00,81
10/26/2010 12:00,90.6
10/27/2010 3:00,80.7
10/27/2010 12:00,90.6
10/28/2010 3:00,83.2
10/28/2010 12:00,98.3
10/29/2010 3:00,79.1
10/29/2010 12:00,96.6
10/30/2010 3:00,83.7
10/30/2010 12:00,93.5
10/31/2010 3:00,88.5
10/31/2010 12:00,91.4
11/1/2010 3:00,89.2
11/1/2010 12:00,87.9
11/2/2010 3:00,80.6
11/2/2010 12:00,98.4
11/3/2010 3:00,89.9
11/3/2010 12:00,98.3
11/4/2010 3:00,89.8
11/4/2010 12:00,96.7
11/5/2010 3:00,82.2
11/5/2010 12:00,92.5
11/6/2010 3:00,79.6
11/6/2010 12:00,96.9
11/7/2010 3:00,72.3
11/7/2010 12:00,79.8
11/8/2010 3:00,82
11/8/2010 12:00,98.4
11/9/2010 3:00,80.6
11/9/2010 12:00,95.3
11/10/2010 3:00,85.4
11/10/2010 12:00,96.7
11/11/2010 3:00,83.7
11/11/2010 12:00,93.4
11/12/2010 3:00,85.1
11/12/2010 12:00,96.6
11/13/2010 3:00,92.5
11/13/2010 12:00,91.2
11/14/2010 3:00,85.9
11/14/2010 12:00,95
11/15/2010 3:00,86.1
11/15/2010 12:00,94.9
11/16/2010 3:00,83.2
11/16/2010 12:00,93.3
11/17/2010 3:00,85.6
11/17/2010 12:00,96.6
11/18/2010 3:00,87.6
11/18/2010 12:00,96.5
11/19/2010 3:00,91
11/19/2010 12:00,93
11/20/2010 3:00,92.3
11/20/2010 12:00,94.6
11/21/2010 3:00,75.2
11/21/2010 12:00,94.5
11/22/2010 3:00,81.1
11/22/2010 12:00,92.7
11/23/2010 3:00,69.8
11/23/2010 12:00,91.6
11/24/2010 3:00,87.1
11/24/2010 12:00,91.2
11/25/2010 3:00,83.9
11/25/2010 12:00,93.2
11/26/2010 3:00,83.9
11/26/2010 12:00,96.5
11/27/2010 3:00,80.7
11/27/2010 12:00,94.9
11/28/2010 3:00,87.1
11/28/2010 12:00,94.6
11/29/2010 3:00,77
11/29/2010 12:00,98.2
11/30/2010 3:00,80.2
11/30/2010 12:00,96.4
12/1/2010 3:00,80.8
12/1/2010 12:00,100
12/2/2010 3:00,76.6
12/2/2010 12:00,92.9
12/3/2010 3:00,80
12/3/2010 12:00,91.4
12/4/2010 3:00,77.2
12/4/2010 12:00,91.4
12/5/2010 3:00,72.8
12/5/2010 12:00,91.6
12/6/2010 3:00,76
12/6/2010 12:00,96.3
12/7/2010 3:00,78.9
12/7/2010 12:00,89.2
12/8/2010 3:00,86.6
12/8/2010 12:00,85.2
12/9/2010 3:00,69
12/9/2010 12:00,100
12/10/2010 3:00,83.3
12/10/2010 12:00,91
12/11/2010 3:00,90.5
12/11/2010 12:00,91
12/12/2010 3:00,90
12/12/2010 12:00,94.2
12/13/2010 3:00,89.3
12/13/2010 12:00,100
12/14/2010 3:00,79.6
12/14/2010 12:00,96.2
12/15/2010 3:00,79.3
12/15/2010 12:00,90.5
12/16/2010 3:00,81.3
12/16/2010 12:00,91
12/17/2010 3:00,77.2
12/17/2010 12:00,92.7
12/18/2010 3:00,71.4
12/18/2010 12:00,94.5
12/19/2010 3:00,78.5
12/19/2010 12:00,94.2
12/20/2010 3:00,81.6
12/20/2010 12:00,90.5
12/21/2010 3:00,79.6
12/21/2010 12:00,90.5
12/22/2010 3:00,74.9
12/22/2010 12:00,90.8
12/23/2010 3:00,77.8
12/23/2010 12:00,90.8
12/24/2010 3:00,79
12/24/2010 12:00,90.5
12/25/2010 3:00,79.5
12/25/2010 12:00,90.5
12/26/2010 3:00,79.6
12/26/2010 12:00,90.5
12/27/2010 3:00,80.2
12/27/2010 12:00,96.2
12/28/2010 3:00,89.7
12/28/2010 12:00,90.8
12/29/2010 3:00,71.5
12/29/2010 12:00,86.4
12/30/2010 3:00,80.2
12/30/2010 12:00,86.8
12/31/2010 3:00,77.1
12/31/2010 12:00,90.5
1/1/2011 3:00,97.8
1/1/2011 12:00,89.7
1/2/2011 3:00,95.4
1/2/2011 12:00,97.9
1/3/2011 3:00,86.5
1/3/2011 12:00,94.1
1/4/2011 3:00,78.2
1/4/2011 12:00,98
1/5/2011 3:00,87.2
1/5/2011 12:00,93.9
1/6/2011 3:00,72.5
1/6/2011 12:00,91.6
1/7/2011 3:00,92.1
1/7/2011 12:00,92.3
1/8/2011 3:00,70.8
1/8/2011 12:00,96.1
1/9/2011 3:00,81.2
1/9/2011 12:00,100
1/10/2011 3:00,97.3
1/10/2011 12:00,92.4
1/11/2011 3:00,97.2
1/11/2011 12:00,88.6
1/12/2011 3:00,94.2
1/12/2011 12:00,83.1
1/13/2011 3:00,84.9
1/13/2011 12:00,44.4
1/14/2011 3:00,81.6
1/14/2011 12:00,35.4
1/15/2011 3:00,86.2
1/15/2011 12:00,94.1
1/16/2011 3:00,76.8
1/16/2011 12:00,93.6
1/17/2011 3:00,86.9
1/17/2011 12:00,87.2
1/18/2011 3:00,88.1
1/18/2011 12:00,79
1/19/2011 3:00,87.9
1/19/2011 12:00,89.3
1/20/2011 3:00,85.4
1/20/2011 12:00,91.4
1/21/2011 3:00,83.7
1/21/2011 12:00,89.7
1/22/2011 3:00,82.2
1/22/2011 12:00,92.1
1/23/2011 3:00,79
1/23/2011 12:00,90.2
1/24/2011 3:00,86.8
1/24/2011 12:00,82.6
1/25/2011 3:00,78.3
1/25/2011 12:00,90.2
1/26/2011 3:00,85.2
1/26/2011 12:00,95.9
1/27/2011 3:00,82
1/27/2011 12:00,89
1/28/2011 3:00,84.1
1/28/2011 12:00,96.1
1/29/2011 3:00,87.2
1/29/2011 12:00,83.9
1/30/2011 3:00,79.6
1/30/2011 12:00,94.6
1/31/2011 3:00,84.3
1/31/2011 12:00,85.6
2/1/2011 3:00,89.3
2/1/2011 12:00,92.3
2/2/2011 3:00,81.5
2/2/2011 12:00,91
2/3/2011 3:00,82.4
2/3/2011 12:00,91.3
2/4/2011 3:00,82.8
2/4/2011 12:00,90
2/5/2011 3:00,76.2
2/5/2011 12:00,86.6
2/6/2011 3:00,88
2/6/2011 12:00,96.5
2/7/2011 3:00,93.9
2/7/2011 12:00,89.7
2/8/2011 3:00,88.1
2/8/2011 12:00,89.3
2/9/2011 3:00,79
2/9/2011 12:00,89.5
2/10/2011 3:00,83.3
2/10/2011 12:00,94.6
2/11/2011 3:00,82.4
2/11/2011 12:00,91
2/12/2011 3:00,87.9
2/12/2011 12:00,84.2
2/13/2011 3:00,83
2/13/2011 12:00,96.5
2/14/2011 3:00,84.7
2/14/2011 12:00,98.3
2/15/2011 3:00,84.9
2/15/2011 12:00,96.5
2/16/2011 3:00,83.3
2/16/2011 12:00,69.3
2/17/2011 3:00,89.3
2/17/2011 12:00,95.9
2/18/2011 3:00,90.5
2/18/2011 12:00,87.2
2/19/2011 3:00,85.2
2/19/2011 12:00,89.4
2/20/2011 3:00,85.5
2/20/2011 12:00,92.7
2/21/2011 3:00,84.5
2/21/2011 12:00,93
2/22/2011 3:00,80.2
2/22/2011 12:00,96.5
2/23/2011 3:00,79.4
2/23/2011 12:00,86.9
2/24/2011 3:00,83
2/24/2011 12:00,86.9
2/25/2011 3:00,81.3
2/25/2011 12:00,86.9
2/26/2011 3:00,76.6
2/26/2011 12:00,91.8
2/27/2011 3:00,77.9
2/27/2011 12:00,77.5
2/28/2011 3:00,73.2
2/28/2011 12:00,81.9
3/1/2011 3:00,80
3/1/2011 12:00,93.4
3/2/2011 3:00,81.2
3/2/2011 12:00,95.1
3/3/2011 3:00,82.2
3/3/2011 12:00,95.1
3/4/2011 3:00,79.1
3/4/2011 12:00,90
3/5/2011 3:00,78.2
3/5/2011 12:00,75.2
3/6/2011 3:00,90.2
3/6/2011 12:00,80.2
3/7/2011 3:00,84.1
3/7/2011 12:00,85.6
3/8/2011 3:00,85.7
3/8/2011 12:00,93.4
3/9/2011 3:00,84.2
3/9/2011 12:00,91.8
3/10/2011 3:00,78.6
3/10/2011 12:00,80.8
3/11/2011 3:00,89.8
3/11/2011 12:00,79.6
3/12/2011 3:00,80.8
3/12/2011 12:00,78.7
3/13/2011 3:00,78.9
3/13/2011 12:00,82.9
3/14/2011 3:00,77.9
3/14/2011 12:00,95.2
3/15/2011 3:00,79.9
3/15/2011 12:00,93.7
3/16/2011 3:00,80.1
3/16/2011 12:00,94
3/17/2011 3:00,80.5
3/17/2011 12:00,85.1
3/18/2011 3:00,89.7
3/18/2011 12:00,90.1
3/19/2011 3:00,87.3
3/19/2011 12:00,95
3/20/2011 3:00,85.7
3/20/2011 12:00,95.3
3/21/2011 3:00,80.8
3/21/2011 12:00,94
3/22/2011 3:00,81.5
3/22/2011 12:00,89.5
3/23/2011 3:00,80.4
3/23/2011 12:00,91.1
3/24/2011 3:00,80.9
3/24/2011 12:00,84.9
3/25/2011 3:00,81.5
3/25/2011 12:00,85.8
3/26/2011 3:00,84.2
3/26/2011 12:00,80.4
3/27/2011 3:00,81.5
3/27/2011 12:00,84.2
3/28/2011 3:00,88.7
3/28/2011 12:00,93
3/29/2011 3:00,81.6
3/29/2011 12:00,85.9
3/30/2011 3:00,81.9
3/30/2011 12:00,86.1
3/31/2011 3:00,91
3/31/2011 12:00,84.7
4/1/2011 3:00,87.5
4/1/2011 12:00,95.2
4/2/2011 3:00,82.8
4/2/2011 12:00,88
4/3/2011 3:00,83.5
4/3/2011 12:00,94
4/4/2011 3:00,83.9
4/4/2011 12:00,92.8
4/5/2011 3:00,75.3
4/5/2011 12:00,86.6
4/6/2011 3:00,79
4/6/2011 12:00,79.7
4/7/2011 3:00,78.1
4/7/2011 12:00,89.5
4/8/2011 3:00,80
4/8/2011 12:00,95.6
4/9/2011 3:00,82.6
4/9/2011 12:00,93.9
4/10/2011 3:00,85.8
4/10/2011 12:00,97
4/11/2011 3:00,90
4/11/2011 12:00,91.1
4/12/2011 3:00,81.9
4/12/2011 12:00,86.4
4/13/2011 3:00,78.7
4/13/2011 12:00,91
4/14/2011 3:00,79.2
4/14/2011 12:00,89.1
4/15/2011 3:00,83.3
4/15/2011 12:00,87.9
4/16/2011 3:00,85.6
4/16/2011 12:00,95.5
4/17/2011 3:00,88.5
4/17/2011 12:00,91.1
4/18/2011 3:00,87.9
4/18/2011 12:00,89.9
4/19/2011 3:00,90.2
4/19/2011 12:00,89.7
4/20/2011 3:00,88.9
